AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

75MS    ,MICHAELS SALES AND SVC,16836.55,37295.9,20459.35, , , , , , ,16836.55,
76PE    ,PETRILLO'S APPLIANCES   ,42800.84,177140.47,134339.63, , , , , , ,42800.84,
77RS    ,ROB STEVEN INC.         ,42448.32,161863.65,119415.33, , , , , , ,42448.32,
78WA    ,WAYFAIR LLC,21094.46,-2422.27,18672.19, ,-27808.56, , , , ,6714.1,
79EF    ,ELITE FACTORY AUTH SVC,1539.4,15773.82,14234.42, ,-2479, , , , ,4018.4,
80HF    ,HITCHNER'S FURNITURE,961.56,35664.11,34702.55, , , , , , ,961.56,
81AT    ,ATLANTIC APPLIANCE INC,61449.8,422862.13,361412.33, , , , , , ,61449.8,
82CL    ,CLARK'S TV AND APPLIANCE,50837.73,116788.35,65950.62, , , , , , ,50837.73,
83RL    ,RELIABLE HOME SUPPLY,16125.12,35873.3,19748.18, ,-669.87, , , , ,16794.99,
84HY    ,HAPPY HOME APPLIANCE ,13567.47,25505.13,11937.66, , , , , , ,13567.47,
86DN    ,DUNN & SEIBERT,25555.06,60093.59,34538.53, ,-302.2, , , , ,25857.26,
87KO    ,KOCH'S TV AND APPL INC.,37598.02,91643.91,54045.89, , , , , , ,37598.02,
88TE    ,TED'S APPLIANCE S&S LLC,5352.58,30269.7,24917.12, , , , , , ,5352.58,
89AR    ,ART HANDLERS APPL CENTER,67293.01,653744.07,586451.06, ,-1002.38, , , , ,68295.39,
90HH    ,H AND H APPLIANCES,68228.01,334171.38,265943.37, ,-1802.4, , , , ,70030.41,
91PY    ,E.A. PYLE AND CO.,3957.83,6425.47,2467.64, , , , , , ,3957.83,
92DU    ,DUNMORE APPLIANCE INC.,63281.03,288349.02,225067.99, , , , , , ,63281.03,
93AJ    ,A J APPLIANCE,48872.95,82596.1,33723.15, , , , , , ,48872.95,
94JB    ,J.B.HOSTETTER AND SONS,14693.71,65388.06,50694.35, , , , , , ,14693.71,
95AH    ,ANCHOR APPLIANCE INC,65970.98,393782.38,327811.4, , , , , , ,65970.98,
97ZI    ,J.B.ZIMMERMAN AND SONS,50258.47,199126.14,148867.67, , , , , , ,50258.47,
98CH    ,CABIN HILL MAYTAG,4349.49,31514.28,27164.79, , , , , , ,4349.49,
99CE    ,CARLISLE ELEC AND APPL ,41023.5,101685.57,60662.07, , , , , , ,41023.5,
ADC     ,Appliance Dealers Coop.,4629.82,4629.82, , ,-89.09, , , , ,4718.91,
EFC     ,ELECTROLUX FINANCIAL,302997.73,564431.55,257566.94,3866.88,-34517.47, , , , ,337515.2,
TRANS   ,FINANCED BY WELLS FARGO,1367530.92,5070748.01,3585305.33,117911.76,-17339.91, , , , ,1384870.83,
WFC     ,WHILPOOL FINANCE CORP   ,0, , , ,-13113.75, , , , ,13113.75,
TOTALS,,,0,38009457.44,29611109.35,126046.59,-423335.59, , , , ,8695637.09

DEALER & A/R OUT OF BALANCE LIST   DATE: 06:50 PM  10/03/2024
DEALER,NAME,CUST MC BAL,A/R BAL
01BA    ,BARRY'S APPLIANCE AND TV,47183.88 ,52218.71 
02AD    ,AJAY DISC.APPL.AND VIDEO,44723.97 ,38163.40 
03CO    ,COLONIAL TELEVISION     ,0.00 ,23257.16 
04BR    ,BRUBAKER INC.,36354.46 ,38732.55 
05JO    ,APPLIANCE DRIVEN INC.,33388.81 ,29598.51 
06NP    ,NEW PROVIDENCE ELECTRONI,75144.49 ,61770.25 
07BL    ,BETTER LIVING           ,52015.05 ,48379.23 
08AA    ,APPLIANCE ALLIANCE,30628.91 ,42449.52 
09KF    ,KIEFFER'S APPLIANCE INC.,43485.72-,76011.48 
100A1   ,A-1 APPLIANCE SALES&SERV,7515.45 ,27604.29 
101MV   ,MIKE'S VIDEO TV AND APPL,59971.86 ,56211.59 
102SC   ,SCHULBERGER'S INC,38614.66 ,31198.90 
103RA   ,RAY'S APPLIANCES,37073.32 ,47095.91 
104YU   ,YUDIN'S INC.,78652.25 ,59359.82 
105TG   ,TRIANGLE TV SRV ANS SALE,24550.06 ,25812.54 
106RO   ,ROSENDAHL'S APPLIANCE,6299.21 ,16226.22 
107MO   ,MORRISSEY TV AND APPL,53001.12 ,42900.53 
108SQ   ,SQUIRES ELECTRONICS,48454.32 ,42920.81 
109SL   ,SALTZER'S APPLIANCE,0.00 ,2957.23 
10MR    ,MRS G                   ,64656.56 ,63505.59 
110KA   ,KASPER TV AND APPLIANCE,44722.73 ,58629.77 
111AU   ,AUREL'S T.V. &APPLIANCES,39751.56-,29028.63 
112KR   ,KRISAY'S INC.,51934.70 ,73920.71 
113DS   ,DANIEL SHAFFER'S INC.,20977.78 ,10752.65 
114BV   ,BILL VANDEGRIFT INC.,55049.44 ,55391.42 
115DI   ,DIAMOND SUPPLY CO.,23742.00 ,32946.80 
116BW   ,BROCKWAY APPLIANCE,4169.24 ,9530.54 
117WH   ,ELK COUNTY WHA INC. DBA,4736.09 ,17142.27 
118AR   ,APPLIANCE REPLACEMENT,47915.83 ,6595.79 
119MT   ,MARTIN APPLIANCE,99870.81 ,89705.24 
11JE    ,JOHNSON'S ELECTRIC,38322.97 ,22114.73 
